time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2001-12-30T20:15:31.280Z,36.755,71.271,113.6,3.8,mb,19,,,1.23,us,usp000avjr,2014-11-07T01:14:33.323Z,"Hindu Kush region, Afghanistan",earthquake,,14.6,,4,reviewed,us,us
2001-12-30T20:10:15.450Z,-6.018,102.729,33,4.7,mb,36,,,0.81,us,usp000avjq,2014-11-07T01:14:33.319Z,"southwest of Sumatra, Indonesia",earthquake,,,,17,reviewed,us,us
2001-12-30T19:14:41.500Z,-31.987,-71.493,62,3.9,md,18,,,,us,usp000avjp,2014-11-07T01:14:33.317Z,"Coquimbo, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-30T18:40:00.110Z,37.256,71.651,118.4,4.3,mb,32,,,1.17,us,usp000avjm,2014-11-07T01:14:33.312Z,"Tajikistan",earthquake,,,,11,reviewed,us,us
2001-12-30T18:34:33.280Z,35.34,76.877,33,4.2,mb,12,,,1.11,us,usp000avjk,2014-11-07T01:14:33.311Z,"northwestern Kashmir",earthquake,,,,1,reviewed,us,us
2001-12-30T16:43:59.600Z,16.238,-94.314,86.3,4.1,md,12,,,,us,usp000avjj,2014-11-07T01:14:33.309Z,"offshore Oaxaca, Mexico",earthquake,,,,,reviewed,unm,unm
2001-12-30T16:36:47.480Z,61.988,-149.153,45.6,2.8,ml,28,,,,us,usp000avjh,2014-11-07T01:14:33.306Z,"Southern Alaska",earthquake,,,,,reviewed,aeic,pmr
2001-12-30T16:13:15.120Z,35.677,94.561,10,4.2,mb,14,,,1.42,us,usp000avjg,2014-11-07T01:14:33.304Z,"southern Qinghai, China",earthquake,,,,2,reviewed,us,us
2001-12-30T16:12:55.570Z,-49.124,125.298,10,4.5,mb,11,,,0.85,us,usp000avjf,2014-11-07T01:14:33.303Z,"western Indian-Antarctic Ridge",earthquake,,,,4,reviewed,us,us
2001-12-30T16:11:10.530Z,39.216,71.775,72.7,4.1,mb,20,,,0.88,us,usp000avje,2014-11-07T01:14:33.301Z,"Tajikistan",earthquake,,11.2,,2,reviewed,us,us
2001-12-30T15:26:57.550Z,18.786,-104.185,10,3.7,mb,18,,,1.36,us,usp000avjd,2014-11-07T01:14:33.298Z,"offshore Colima, Mexico",earthquake,,,,3,reviewed,us,us
2001-12-30T15:15:18.530Z,36.6175,-121.2236667,6.672,3.02,ml,53,47,0.05045,0.07,nc,nc21207544,2017-01-02T01:11:56.990Z,"Central California",earthquake,0.14,0.34,,9,reviewed,nc,nc
2001-12-30T14:57:52.520Z,-30.556,117.121,10,2.5,ml,6,,,1.22,us,usp000avja,2014-11-07T01:14:33.294Z,"Western Australia",earthquake,,,,,reviewed,us,aust
2001-12-30T14:20:39.190Z,36.189,-34.162,10,4.4,mb,21,,,0.8,us,usp000avj9,2014-11-07T01:14:33.292Z,"Azores Islands region",earthquake,,,,8,reviewed,us,us
2001-12-30T14:19:54.740Z,36.159,-34.138,10,4.4,mb,28,,,0.99,us,usp000avj8,2014-11-07T01:14:33.289Z,"Azores Islands region",earthquake,,,,3,reviewed,us,us
2001-12-30T14:01:16.940Z,35.374,76.895,33,4.5,mb,20,,,0.77,us,usp000avj7,2014-11-07T01:14:33.287Z,"northwestern Kashmir",earthquake,,,,6,reviewed,us,us
2001-12-30T13:56:42.580Z,35.224,76.862,33,4.7,mb,21,,,1.12,us,usp000avj6,2014-11-07T01:14:33.285Z,"northwestern Kashmir",earthquake,,,,7,reviewed,us,us
2001-12-30T13:37:49.700Z,-31.823,-71.529,39,3.6,md,7,,,,us,usp000avj5,2014-11-07T01:14:33.284Z,"offshore Coquimbo, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-30T13:18:10.530Z,54.241,159.571,141.9,3.7,mb,8,,,0.23,us,usp000avj3,2014-11-07T01:14:33.281Z,"near the east coast of the Kamchatka Peninsula, Russia",earthquake,,13.1,,1,reviewed,us,us
2001-12-30T12:24:02.900Z,39.32,22.79,36,3,md,4,,,,us,usp000avj2,2014-11-07T01:14:33.280Z,"Greece",earthquake,,,,,reviewed,ath,ath
2001-12-30T12:01:09.130Z,24.005,126.948,38.1,5,mwc,76,,,0.98,us,usp000avj1,2016-11-10T00:19:27.693Z,"Ryukyu Islands, Japan",earthquake,,,,,reviewed,us,hrv
2001-12-30T11:27:30.900Z,-32.077,-70.659,95.1,2.5,md,5,,,,us,usp000avj0,2014-11-07T01:14:33.262Z,"Coquimbo, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-30T10:15:15.030Z,36.548,70.817,192.1,4.5,mb,24,,,1.15,us,usp000avhz,2014-11-07T01:14:33.259Z,"Hindu Kush region, Afghanistan",earthquake,,11.5,,7,reviewed,us,us
2001-12-30T09:20:18.930Z,-7.811,108.151,60.6,4.4,mb,35,,,1.27,us,usp000avhx,2014-11-07T01:14:33.254Z,"Java, Indonesia",earthquake,,12.8,,10,reviewed,us,us
2001-12-30T07:58:07.400Z,-17.841,-178.482,600,4.4,mb,25,,,1.09,us,usp000avhu,2014-11-07T01:14:33.245Z,"Fiji region",earthquake,,,,12,reviewed,us,us
2001-12-30T06:26:55.430Z,-40.202,173.502,169.5,4,mb,51,,,0.93,us,usp000avhr,2014-11-07T01:14:33.154Z,"Cook Strait, New Zealand",earthquake,,3.9,,4,reviewed,us,us
2001-12-30T05:28:18.790Z,6.552,126.088,33,4.7,mb,20,,,0.93,us,usp000avhq,2014-11-07T01:14:33.152Z,"Mindanao, Philippines",earthquake,,,,10,reviewed,us,us
2001-12-30T05:04:56.340Z,-44.836,-75.982,33,4.5,mb,10,,,0.72,us,usp000avhp,2014-11-07T01:14:33.150Z,"off the coast of Aisen, Chile",earthquake,,,,5,reviewed,us,us
2001-12-30T05:02:31.200Z,44.708,149.054,33,4.1,mb,9,,,0.4,us,usp000avhn,2014-11-07T01:14:33.149Z,"Kuril Islands",earthquake,,,,1,reviewed,us,us
2001-12-30T05:02:18.400Z,-34.789,-70.938,98.7,3.6,md,19,,,,us,usp000avhm,2014-11-07T01:14:33.146Z,"Libertador General Bernardo O'Higgins, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-30T04:06:31.820Z,34.836,27.391,64.3,4.7,mb,134,,,1.07,us,usp000avhk,2014-11-07T01:14:33.126Z,"eastern Mediterranean Sea",earthquake,,5.2,,79,reviewed,us,us
2001-12-30T04:00:57.310Z,-48.383,31.289,10,4.4,mb,20,,,0.87,us,usp000avhj,2014-11-07T01:14:33.124Z,"south of Africa",earthquake,,,,7,reviewed,us,us
2001-12-30T04:00:08.850Z,13.082,-88.719,70.1,4.4,mb,57,,,1.22,us,usp000avhh,2014-11-07T01:14:33.118Z,"offshore El Salvador",earthquake,,,,10,reviewed,us,us
2001-12-30T03:34:02.460Z,4.574,95.129,100,3.9,mb,15,,,1.55,us,usp000avhg,2014-11-07T01:14:33.116Z,"northern Sumatra, Indonesia",earthquake,,,,3,reviewed,us,us
2001-12-30T03:11:05.800Z,15.732,-95.801,43.1,4.1,md,7,,,,us,usp000avhe,2014-11-07T01:14:33.113Z,"offshore Oaxaca, Mexico",earthquake,,,,,reviewed,unm,unm
2001-12-30T02:49:50.300Z,-34.079,-70.348,8.3,3.5,md,9,,,,us,usp000avhd,2014-11-07T01:14:33.112Z,"Libertador General Bernardo O'Higgins, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-30T02:48:24.250Z,11.228,-86.374,59.6,4.2,mb,34,,,0.99,us,usp000avhc,2014-11-07T01:14:33.108Z,"near the coast of Nicaragua",earthquake,,8.1,,8,reviewed,us,us
2001-12-30T02:43:42.530Z,-5.377,146.988,221.2,4.6,mb,15,,,0.76,us,usp000avhb,2014-11-07T01:14:33.106Z,"eastern New Guinea region, Papua New Guinea",earthquake,,9.2,,6,reviewed,us,us
2001-12-30T02:38:02.180Z,40.3236667,-124.5526667,8.725,2.61,md,9,285,0.2018,0.04,nc,nc21207480,2017-01-02T01:09:40.204Z,"offshore Northern California",earthquake,1.36,1.21,0.13,7,reviewed,nc,nc
2001-12-30T02:14:35.990Z,36.6163333,-121.225,5.782,2.78,md,40,53,0.05045,0.05,nc,nc21207477,2017-01-02T01:09:34.970Z,"Central California",earthquake,0.14,0.43,0.11,51,reviewed,nc,nc
2001-12-30T02:00:28.700Z,-26.478,27.709,5,4.1,mb,7,,,1.46,us,usp000avh9,2014-11-07T01:14:33.104Z,"South Africa",earthquake,,,,2,reviewed,us,us
2001-12-30T01:33:12.640Z,36.6785,-121.2321667,7.182,3.1,ml,22,78,0.1658,1.09,nc,nc21263254,2017-01-02T01:09:27.385Z,"Central California",earthquake,2.01,3.68,,10,automatic,nc,nc
2001-12-30T01:32:38.420Z,36.62,-121.231,5.832,2.85,md,54,58,0.05586,0.05,nc,nc21207473,2017-01-02T01:09:22.150Z,"Central California",earthquake,0.12,0.31,0.34,77,reviewed,nc,nc
2001-12-30T01:17:16.100Z,61.811,-148.584,0.1,2.7,ml,21,,,,us,usp000avh6,2014-11-07T01:14:33.098Z,"Southern Alaska",earthquake,,,,,reviewed,aeic,aeic
2001-12-30T01:08:45.990Z,-16.295,-174.426,131.1,4.2,mb,24,,,0.78,us,usp000avh5,2014-11-07T01:14:33.096Z,"Tonga",earthquake,,,,9,reviewed,us,us
2001-12-30T00:47:03.200Z,37.87,21.29,5,2.9,md,4,,,,us,usp000avh4,2014-11-07T01:14:33.095Z,"southern Greece",earthquake,,,,,reviewed,ath,ath
2001-12-30T00:41:23.180Z,50.805,-173.175,33,4.1,mb,10,,,1.51,us,usp000avh3,2014-11-07T01:14:33.093Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake,,,,1,reviewed,us,us
2001-12-30T00:28:35.210Z,38.148,73.715,168.6,3.7,mb,13,,,1.17,us,usp000avh2,2014-11-07T01:14:33.092Z,"Tajikistan",earthquake,,12.9,,2,reviewed,us,us
2001-12-30T00:03:15.010Z,42.706,-7.216,16,2.5,mblg,10,,,,us,usp000avh1,2014-11-07T01:14:33.090Z,"Spain",earthquake,,,,,reviewed,mdd,mdd
2001-12-29T23:20:25.050Z,37.492,-121.8441667,8.204,2.56,md,76,33,0.03694,0.07,nc,nc21207460,2017-01-02T01:08:59.590Z,"San Francisco Bay area, California",earthquake,0.1,0.27,0.14,66,reviewed,nc,nc
2001-12-29T23:12:30.720Z,36.527,28.148,103.5,4.2,mb,103,,,0.91,us,usp000avh0,2014-11-07T01:14:33.082Z,"Dodecanese Islands, Greece",earthquake,,3.4,,34,reviewed,us,us
2001-12-29T23:08:04.840Z,-9.613,151.161,10,4.6,mb,26,,,0.87,us,usp000avgz,2014-11-07T01:14:33.079Z,"D'Entrecasteaux Islands region",earthquake,,,,9,reviewed,us,us
2001-12-29T22:49:20.460Z,-9.614,151.077,10,4.6,mb,10,,,0.98,us,usp000avgy,2014-11-07T01:14:33.077Z,"D'Entrecasteaux Islands region",earthquake,,,,5,reviewed,us,us
2001-12-29T22:47:20.070Z,-9.631,151.231,10,4.1,mb,11,,,0.84,us,usp000avgx,2014-11-07T01:14:33.076Z,"D'Entrecasteaux Islands region",earthquake,,,,4,reviewed,us,us
2001-12-29T22:27:19.050Z,-6.289,146.96,33,3.9,mb,9,,,0.91,us,usp000avgw,2014-11-07T01:14:33.074Z,"eastern New Guinea region, Papua New Guinea",earthquake,,,,3,reviewed,us,us
2001-12-29T22:25:17.200Z,15.333,-98.182,23.7,4,md,5,,,,us,usp000avgv,2014-11-07T01:14:33.073Z,"offshore Oaxaca, Mexico",earthquake,,,,,reviewed,unm,unm
2001-12-29T21:57:17.420Z,-7.154,146.161,186.6,4.2,mb,14,,,0.69,us,usp000avgu,2014-11-07T01:14:33.071Z,"eastern New Guinea region, Papua New Guinea",earthquake,,7.5,,4,reviewed,us,us
2001-12-29T21:41:38.300Z,40.91,22.32,5,3,md,6,,,,us,usp000avgt,2014-11-07T01:14:33.070Z,"Greece",earthquake,,,,,reviewed,ath,ath
2001-12-29T21:28:59.000Z,17.481,-95.181,124.5,4.1,md,9,,,,us,usp000avgs,2014-11-07T01:14:33.068Z,"Oaxaca, Mexico",earthquake,,,,,reviewed,unm,unm
2001-12-29T21:03:44.720Z,-1.695,100.053,33,4.8,mb,36,,,1.17,us,usp000avgr,2014-11-07T01:14:33.065Z,"southern Sumatra, Indonesia",earthquake,,,,11,reviewed,us,us
2001-12-29T21:03:11.700Z,47.9525,-124.5465,36.37,2.8,md,23,197,,0.29,uw,uw10554768,2016-07-23T00:54:38.180Z,"Olympic Peninsula, Washington",earthquake,1.22,1.11,0.04,8,reviewed,uw,uw
2001-12-29T20:58:21.950Z,32.3161667,-115.0813333,7.011,2.69,ml,13,223.3,0.4296,0.53,ci,ci9741129,2016-04-02T17:50:16.933Z,"4km NE of Guadalupe Victoria, B.C., MX",earthquake,2.08,42.74,0.482,6,reviewed,ci,ci
2001-12-29T20:51:59.780Z,51.581,16.173,5,3.3,ml,18,,,0.58,us,usp000avgp,2014-11-07T01:14:33.060Z,"Poland",earthquake,,,,,reviewed,us,vie
2001-12-29T20:44:34.260Z,-26.222,-69.635,33,4.2,mb,9,,,1.06,us,usp000avgn,2014-11-07T01:14:33.058Z,"Atacama, Chile",earthquake,,,,1,reviewed,us,us
2001-12-29T20:44:30.000Z,52.3,7.7,2,3,ml,20,,,,us,usp000avgm,2014-11-07T01:14:33.055Z,"Germany",earthquake,,,,,reviewed,grf,ldg
2001-12-29T20:15:55.190Z,32.3931667,-115.094,6.981,2.97,ml,16,211.6,0.3571,0.39,ci,ci9741101,2016-04-02T05:09:18.727Z,"10km ENE of Delta, B.C., MX",earthquake,1.56,31.1,0.348,15,reviewed,ci,ci
2001-12-29T19:46:50.500Z,-32.001,-70.767,74.7,2.9,md,6,,,,us,usp000avgj,2014-11-07T01:14:33.052Z,"Coquimbo, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-29T19:39:56.200Z,-33.67,-71.545,44.6,3.4,md,14,,,,us,usp000avgh,2014-11-07T01:14:33.049Z,"Valparaiso, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-29T19:17:12.010Z,32.3986667,-115.099,6.981,2.79,ml,15,210.6,0.3529,0.42,ci,ci9741081,2016-04-02T17:57:20.177Z,"10km ENE of Delta, B.C., MX",earthquake,2.13,33.58,0.392,9,reviewed,ci,ci
2001-12-29T18:37:21.350Z,-9.703,151.199,10,4.3,mb,15,,,1.43,us,usp000avgf,2014-11-07T01:14:33.044Z,"D'Entrecasteaux Islands region",earthquake,,,,5,reviewed,us,us
2001-12-29T18:13:14.330Z,36.6268333,-121.2333333,5.61,3.68,ml,56,55,0.06036,0.06,nc,nc21207431,2017-03-17T16:51:40.044Z,"Central California",earthquake,0.14,0.47,,14,reviewed,nc,nc
2001-12-29T17:42:06.760Z,-18.96,-12.152,10,4.6,mb,14,,,1.33,us,usp000avgc,2014-11-07T01:14:33.036Z,"southern Mid-Atlantic Ridge",earthquake,,,,8,reviewed,us,us
2001-12-29T17:31:50.150Z,36.6196667,-121.2293333,5.392,2.73,md,49,56,0.05495,0.04,nc,nc21207424,2017-01-02T01:07:39.970Z,"Central California",earthquake,0.1,0.35,0.13,61,reviewed,nc,nc
2001-12-29T17:29:44.850Z,-35.017,-103.31,10,5.7,mwc,37,,,1.31,us,usp000avga,2016-11-10T00:19:03.238Z,"southeast of Easter Island",earthquake,,,,,reviewed,us,hrv
2001-12-29T17:26:23.020Z,6.62,126.896,33,4.4,mb,18,,,0.97,us,usp000avg9,2014-11-07T01:14:33.029Z,"Mindanao, Philippines",earthquake,,,,5,reviewed,us,us
2001-12-29T16:21:49.890Z,-30.531,117.066,10,2.7,ml,5,,,0.39,us,usp000avg8,2014-11-07T01:14:33.027Z,"Western Australia",earthquake,,,,,reviewed,us,aust
2001-12-29T16:12:15.170Z,-6.142,147.664,88.2,3.8,mb,7,,,1.16,us,usp000avg7,2014-11-07T01:14:33.026Z,"eastern New Guinea region, Papua New Guinea",earthquake,,16.8,,1,reviewed,us,us
2001-12-29T15:47:32.540Z,51.56,151.883,460.6,3.4,mb,10,,,0.26,us,usp000avg6,2014-11-07T01:14:33.025Z,"Sea of Okhotsk",earthquake,,47.1,,1,reviewed,us,us
2001-12-29T14:49:44.800Z,32.3916667,-115.113,7,2.52,ml,9,225.5,0.363,0.29,ci,ci9741045,2016-02-17T10:23:30.930Z,"9km ENE of Delta, B.C., MX",earthquake,2.12,26.34,0.285,4,reviewed,ci,ci
2001-12-29T14:48:38.880Z,-30.509,117.066,10,2.5,ml,5,,,0.82,us,usp000avg5,2014-11-07T01:14:33.023Z,"Western Australia",earthquake,,,,,reviewed,us,aust
2001-12-29T14:32:22.600Z,-6.009,102.849,33,5.6,mwc,196,,,0.99,us,usp000avg4,2016-11-10T00:19:02.655Z,"southwest of Sumatra, Indonesia",earthquake,,,,,reviewed,us,hrv
2001-12-29T13:10:33.040Z,32.3915,-115.1043333,7,2.57,ml,12,216.2,0.361,0.36,ci,ci9741009,2016-02-16T17:25:59.500Z,"9km ENE of Delta, B.C., MX",earthquake,2.44,30.97,0.281,4,reviewed,ci,ci
2001-12-29T12:55:19.650Z,18.462,-68.667,161.2,3.9,md,9,,,,us,usp000avg3,2014-11-07T01:14:32.997Z,"Dominican Republic",earthquake,,,,,reviewed,rspr,rspr
2001-12-29T12:22:54.030Z,36.125,-9.701,20.1,2.5,mblg,12,,,,us,usp000avg2,2014-11-07T01:14:32.995Z,"west of Gibraltar",earthquake,,,,,reviewed,mdd,mdd
2001-12-29T12:17:46.700Z,-36.78,179.39,33,4.3,ml,14,,,,us,usp000avg1,2014-11-07T01:14:32.994Z,"off the east coast of the North Island of New Zealand",earthquake,,,,,reviewed,wel,wel
2001-12-29T11:53:55.620Z,13.765,-91.837,10,4.5,mb,12,,,1.23,us,usp000avg0,2014-11-07T01:14:32.992Z,"offshore Guatemala",earthquake,,,,1,reviewed,us,us
2001-12-29T10:49:19.090Z,24.309,123.675,10,4.3,mb,22,,,1.14,us,usp000avfx,2014-11-07T01:14:32.986Z,"southwestern Ryukyu Islands, Japan",earthquake,,,,1,reviewed,us,us
2001-12-29T10:30:49.370Z,-31.216,-68.564,150,3.8,md,14,,,0.95,us,usp000avfw,2014-11-07T01:14:32.984Z,"San Juan, Argentina",earthquake,,,,,reviewed,us,guc
2001-12-29T08:35:09.430Z,18.586,-66.407,34.3,2.5,md,5,,,,us,usp000avfv,2014-11-07T01:14:32.983Z,"Puerto Rico region",earthquake,,,,,reviewed,rspr,rspr
2001-12-29T08:22:00.200Z,-33.091,-70.306,115,2.8,md,13,,,,us,usp000avfu,2014-11-07T01:14:32.981Z,"Valparaiso, Chile",earthquake,,,,,reviewed,guc,guc
2001-12-29T07:40:03.120Z,32.1115,-115.0058333,5.963,3.14,ml,12,261,0.5842,0.46,ci,ci9740977,2016-04-02T05:15:52.475Z,"9km S of Estacion Coahuila, B.C., MX",earthquake,3.95,31.61,0.511,8,reviewed,ci,ci
2001-12-29T07:30:48.200Z,16.765,-99.733,3.6,3.8,md,7,,,,us,usp000avft,2014-11-07T01:14:32.979Z,"Guerrero, Mexico",earthquake,,,,,reviewed,unm,unm
